,sentence,label
0,"Часть первая 1 Велик был год и страшен год по рождестве Христовом 1918, от начала же революции второй.",0
1,"Был он обилен летом солнцем, а зимою снегом, и особенно высоко в небе стояли две звезды: звезда пастушеская – вечерняя Венера и красный, дрожащий Марс.",0
2,"Но дни и в мирные и в кровавые годы летят как стрела, и молодые Турбины не заметили, как в крепком морозе наступил белый, мохнатый декабрь.",0
3,"О, елочный дед наш, сверкающий снегом и счастьем!",0
4,"Мама, светлая королева, где же ты?",0
5,"Через год после того, как дочь Елена повенчалась с капитаном Сергеем Ивановичем Тальбергом, и в ту неделю, когда старший сын, Алексей Васильевич Турбин, после тяжких походов, службы и бед вернулся на Украину в Город, в родное гнездо, белый гроб с телом матери снесли по крутому Алексеевскому спуску на Подол, в маленькую церковь Николая Доброго, что на Взвозе.",0
6,"Когда отпевали мать, был май, вишневые деревья и акации наглухо залепили стрельчатые окна.",0
7,"Отец Александр, от печали и смущения спотыкающийся, блестел и искрился у золотеньких огней, и дьякон, лиловый лицом и шеей, весь кованозолотой до самых носков сапог, скрипящих на ранту, мрачно рокотал слова церковного прощания маме, покидающей своих детей.",0
8,"Алексей, Елена, Тальберг и Анюта, выросшая в доме Турбиной, и Николка, оглушенный смертью, с вихром, нависшим на правую бровь, стояли у ног старого коричневого святителя Николы.",0
9,"Николкины голубые глаза, посаженные по бокам длинного птичьего носа, смотрели растерянно, убито.",0
10,"Изредка он возводил их на иконостас, на тонущий в полумраке свод алтаря, где возносился печальный и загадочный старик бог, моргал.",0
11,За что такая обида?,0
12,Несправедливость?,0
13,"Зачем понадобилось отнять мать, когда все съехались, когда наступило облегчение?",0
14,"Улетающий в черное, потрескавшееся небо бог ответа не давал, а сам Николка еще не знал, что все, что ни происходит, всегда так, как нужно, и только к лучшему.",0
15,"Отпели, вышли на гулкие плиты паперти и проводили мать через весь громадный город на кладбище, где под черным мраморным крестом давно уже лежал отец.",0
16,И маму закопали.,0
17,Эх… эх…,0
18,"Много лет до смерти, в доме №13 по Алексеевскому спуску, изразцовая печка в столовой грела и растила Еленку маленькую, Алексея старшего и совсем крошечного Николку.",0
19,"Как часто читался у пышущей жаром изразцовой площади «Саардамский Плотник», часы играли гавот, и всегда в конце декабря пахло хвоей, и разноцветный парафин горел на зеленых ветвях.",0
20,"В ответ бронзовым, с гавотом, что стоят в спальне матери, а ныне Еленки, били в столовой черные стенные башенным боем.",0
21,"Покупал их отец давно, когда женщины носили смешные, пузырчатые у плеч рукава.",0
22,"Такие рукава исчезли, время мелькнуло, как искра, умер отецпрофессор, все выросли, а часы остались прежними и били башенным боем.",0
23,"К ним все так привыкли, что, если бы они пропали какнибудь чудом со стены, грустно было бы, словно умер родной голос и ничем пустого места не заткнешь.",0
24,"Но часы, по счастью, совершенно бессмертны, бессмертен и Саардамский Плотник, и голландский изразец, как мудрая скала, в самое тяжкое время живительный и жаркий.",0
25,"Вот этот изразец, и мебель старого красного бархата, и кровати с блестящими шишечками, потертые ковры, пестрые и малиновые, с соколом на руке Алексея Михайловича, с Людовиком XIV, нежащимся на берегу шелкового озера в райском саду, ковры турецкие с чудными завитушками на восточном поле, что мерещились маленькому Николке в бреду скарлатины, бронзовая лампа под абажуром, лучшие на свете шкапы с книгами, пахнущими таинственным старинным шоколадом, с Наташей Ростовой, Капитанской Дочкой, золоченые чашки, серебро, портреты, портьеры,– все семь пыльных и полных комнат, вырастивших молодых Турбиных, все это мать в самое трудное время оставила детям и, уже задыхаясь и слабея, цепляясь за руку Елены плачущей, молвила: –Дружно… живите.",0
26,Но как жить?,0
27,Как же жить?,0
28,"Алексею Васильевичу Турбину, старшему – молодому врачу – двадцать восемь лет.",0
29,Елене – двадцать четыре.,0
30,"Мужу ее, капитану Тальбергу – тридцать один, а Николке – семнадцать с половиной.",0
31,Жизньто им как раз перебило на самом рассвете.,0
32,"Давно уже начало мести с севера, и метет, и метет, и не перестает, и чем дальше, тем хуже.",0
33,"Вернулся старший Турбин в родной город после первого удара, потрясшего горы над Днепром.",0
34,"Ну, думается, вот перестанет, начнется та жизнь, о которой пишется в шоколадных книгах, но она не только не начинается, а кругом становится все страшнее и страшнее.",0
35,"На севере воет и воет вьюга, а здесь под ногами глухо погромыхивает, ворчит встревоженная утроба земли.",0
36,Восемнадцатый год летит к концу и день ото дня глядит все грознее и щетинистей.,0
37,"Упадут стены, улетит встревоженный сокол с белой рукавицы, потухнет огонь в бронзовой лампе, а Капитанскую Дочку сожгут в печи.",0
38,Мать сказала детям: –Живите.,0
39,А им придется мучиться и умирать.,0
40,"Както, в сумерки, вскоре после похорон матери, Алексей Турбин, придя к отцу Александру, сказал: –Да, печаль у нас, отец Александр.",0
41,"Трудно маму забывать, а тут еще такое тяжелое время…",0
42,"Главное, ведь только что вернулся, думал, наладим жизнь, и вот…",0
43,"Он умолк и, сидя у стола, в сумерках, задумался и посмотрел вдаль.",0
44,Ветви в церковном дворе закрыли и домишко священника.,0
45,"Казалось, что сейчас же за стеной тесного кабинетика, забитого книгами, начинается весенний, таинственный спутанный лес.",0
46,"Город повечернему глухо шумел, пахло сиренью.",0
47,"–Что сделаешь, что сделаешь,– конфузливо забормотал священник.",0
48,"(Он всегда конфузился, если приходилось беседовать с людьми.)",0
49,– Воля божья.,0
50,"–Может, кончится все это когданибудь?",0
51,Дальшето лучше будет?– неизвестно у кого спросил Турбин.,0
52,Священник шевельнулся в кресле.,0
53,"–Тяжкое, тяжкое время, что говорить,– пробормотал он,– но уныватьто не следует…",0
54,"Потом вдруг наложил белую руку, выпростав ее из темного рукава ряски, на пачку книжек и раскрыл верхнюю, там, где она была заложена вышитой цветной закладкой.",0
55,"–Уныния допускать нельзя,– конфузливо, но както очень убедительно проговорил он.",0
56,– Большой грех – уныние…,0
57,"Хотя кажется мне, что испытания будут еще.",0
58,"Как же, как же, большие испытания,– он говорил все увереннее.",0
59,"– Я последнее время все, знаете ли, за книжечками сижу, по специальности, конечно, больше все богословские…",0
60,"Он приподнял книгу так, чтобы последний свет из окна упал на страницу, и прочитал: –«Третий ангел вылил чашу свою в реки и источники вод; и сделалась кровь».",0
61,"2 Итак, был белый, мохнатый декабрь.",0
62,Он стремительно подходил к половине.,0
63,Уже отсвет рождества чувствовался на снежных улицах.,0
64,Восемнадцатому году скоро конец.,0
65,"Над двухэтажным домом №13, постройки изумительной (на улицу квартира Турбиных была во втором этаже, а в маленький, покатый, уютный дворик – в первом), в саду, что лепился под крутейшей горой, все ветки на деревьях стали лапчаты и обвисли.",0
66,"Гору замело, засыпало сарайчики во дворе – и стала гигантская сахарная голова.",0
67,"Дом накрыло шапкой белого генерала, и в нижнем этаже (на улицу – первый, во двор под верандой Турбиных – подвальный) засветился слабенькими желтенькими огнями инженер и трус, буржуй и несимпатичный, Василий Иванович Лисович, а в верхнем – сильно и весело загорелись турбинские окна.",0
68,В сумерки Алексей и Николка пошли за дровами в сарай.,0
69,"–Эх, эх, а дров до черта мало.",0
70,"Опять сегодня вытащили, смотри.",0
