,sentence,label
0,"Вечера на хуторе близ Диканьки Повести, изданные пасичником Рудым Паньком Часть ПЕРВАЯ Предисловие «Это что за невидаль: „Вечера на хуторе близ Диканьки“?",1
1,Что это за „Вечера“?,1
2,И швырнул в свет какой-то пасечник!,1
3,Слава богу! еще мало ободрали гусей на перья и извели тряпья на бумагу!,1
4,"Еще мало народу, всякого звания и сброду, вымарало пальцы в чернилах!",1
5,Дернула же охота и пасичника дотащиться вслед за другими!,1
6,"Право, печатной бумаги развелось столько, что не придумаешь скоро, что бы такое завернуть в нее».",1
7,"Слушало, слышало вещее мое все эти речи еще за месяц!",1
8,"То есть, я говорю, что нашему брату, хуторянину, высунуть нос из своего захолустья в большой свет – батюшки мои!",1
9,"Это все равно как, случается, иногда зайдешь в покои великого пана: все обступят тебя и пойдут дурачить.",1
10,"Еще бы ничего, пусть уже высшее лакейство, нет, какой-нибудь оборванный мальчишка, посмотреть – дрянь, который копается на заднем дворе, и тот пристанет; и начнут со всех сторон притопывать ногами.",1
11,"«Куда, куда, зачем? пошел, мужик, пошел!..»",1
12,Я вам скажу…,1
13,Да что говорить!,1
14,"Мне легче два раза в год съездить в Миргород, в котором вот уже пять лет как не видал меня ни подсудок из земского суда, ни почтенный иерей, чем показаться в этот великий свет.",1
15,"А показался – плачь не плачь, давай ответ.",1
16,"У нас, мои любезные читатели, не во гнев будь сказано (вы, может быть, и рассердитесь, что пасечник говорит вам запросто, как будто какому-нибудь свату своему или куму), – у нас, на хуторах, водится издавна: как только окончатся работы в поле, мужик залезет отдыхать на всю зиму на печь и наш брат припрячет своих пчел в темный погреб, когда ни журавлей на небе, ни груш на дереве не увидите более, – тогда, только вечер, уже наверно где-нибудь в конце улицы брезжит огонек, смех и песни слышатся издалека, бренчит балалайка, а подчас и скрипка, говор, шум…",1
17,Это у нас вечерницы!,1
18,"Они, изволите видеть, они похожи на ваши балы; только нельзя сказать чтобы совсем.",1
19,"На балы если вы едете, то именно для того, чтобы повертеть ногами и позевать в руку; а у нас соберется в одну хату толпа девушек совсем не для балу, с веретеном, с гребнями; и сначала будто и делом займутся: веретена шумят, льются песни, и каждая не подымет и глаз в сторону; но только нагрянут в хату парубки с скрыпачом – подымется крик, затеется шаль, пойдут танцы и заведутся такие штуки, что и рассказать нельзя.",1
20,"Но лучше всего, когда собьются все в тесную кучку и пустятся загадывать загадки или просто нести болтовню.",1
21,Боже ты мой!,1
22,Чего только не расскажут!,1
23,Откуда старины не выкопают!,1
24,Каких страхов не нанесут!,1
25,"Но нигде, может быть, не было рассказываемо столько диковин, как на вечерах у пасечника Рудого Панька.",1
26,"За что меня миряне прозвали Рудым Паньком – ей-богу, не умею сказать.",1
27,"И волосы, кажется, у меня теперь более седые, чем рыжие.",1
28,"Но у нас, не извольте гневаться, такой обычай: как дадут кому люди какое прозвище, то и во веки веков останется оно.",1
29,"Бывало, соберутся накануне праздничного дня добрые люди в гости, в пасичникову лачужку, усядутся за стол, – и тогда прошу только слушать.",1
30,"И то сказать, что люди были вовсе не простого десятка, не какие-нибудь мужики хуторянские.",1
31,"Да, может, иному, и повыше пасичника, сделали бы честь посещением.",1
32,"Вот, например, знаете ли вы дьяка диканьской церкви, Фому Григорьевича?",1
33,"Эх, голова!",1
34,Что за истории умел он отпускать!,1
35,Две из них найдете в этой книжке.,1
36,"Он никогда не носил пестрядевого халата, какой встретите вы на многих деревенских дьячках; но заходите к нему и в будни, он вас всегда примет в балахоне из тонкого сукна, цвету застуженного картофельного киселя, за которое платил он в Полтаве чуть не по шести рублей за аршин.",1
37,"От сапог его, у нас никто не скажет на целом хуторе, чтобы слышен был запах дегтя; но всякому известно, что он чистил их самым лучшим смальцем, какого, думаю, с радостью иной мужик положил бы себе в кашу.",1
38,"Никто не скажет также, чтобы он когда-либо утирал нос полою своего балахона, как то делают иные люди его звания; но вынимал из пазухи опрятно сложенный белый платок, вышитый по всем краям красными нитками, и, исправивши что следует, складывал его снова, по обыкновению, в двенадцатую долю и прятал в пазуху.",1
39,А один из гостей…,1
40,"Ну, тот уже был такой панич, что хоть сейчас нарядить в заседатели или подкомории.",1
41,"Бывало, поставит перед собою палец и, глядя на конец его, пойдет рассказывать – вычурно да хитро, как в печатных книжках!",1
42,"Иной раз слушаешь, слушаешь, да и раздумье нападет.",1
43,"Ничего, хоть убей, не понимаешь.",1
44,Откуда он слов понабрался таких!,1
45,"Фома Григорьевич раз ему насчет этого славную сплел присказку: он рассказал ему, как один школьник, учившийся у какого-то дьяка грамоте, приехал к отцу и стал таким латыньщиком, что позабыл даже наш язык православный.",1
46,Все слова сворачивает на ус.,1
47,"Лопата у него – лопатус, баба – бабус.",1
48,"Вот, случилось раз, пошли они вместе с отцом в поле.",1
49,"Латыньщик увидел грабли и спрашивает отца: «Как это, батьку, по-вашему называется?»",1
50,"Да и наступил, разинувши рот, ногою на зубцы.",1
51,"Тот не успел собраться с ответом, как ручка, размахнувшись, поднялась и – хвать его по лбу.",1
52,"«Проклятые грабли! – закричал школьник, ухватясь рукою за лоб и подскочивши на аршин, – как же они, черт бы спихнул с мосту отца их, больно бьются!»",1
53,Так вот как!,1
54,"Припомнил и имя, голубчик!",1
55,Такая присказка не по душе пришлась затейливому рассказчику.,1
